word,meaning
state,"n. 州, 国, 情形, 状态
adj. 国家的, 州的, 正式的
vt. 说, 陈述, 声明, 规定"
statement," n. 声明, 陈述"
form," n. 形式, 形状, 表格
v. 形成, 组成, 建立"
reform," n. 改革,改正,感化
vt. 改革,改正,使悔改
vi. 改良,悔改"
plant," n. 植物，设施，设备，工厂
v. 种植，建立，设立"
plantation, n. 种植园，大农场，殖民地
transplant," vt. 移居, 移栽(植物), 移植(器官)
vi. 能经得住移植
n. 移植, 被移植的事物"
mention," vt.提到，说起； 提名表扬
n.提及"
century, n. 世纪，一百年，成百的东西
author," n. 作者,创造者
vt. 创造,写作"
authority, n. 权威；权力；当局
species," n. [生物] 物种；种类
adj. 物种上的"
subspecies, n. 亚种
art," adj. 美术(品)的,艺术(品)的
n. 艺术, 技术, 阴谋, 美术"
produce," n. 产品, 农作物
vt. 生产, 提出, 引起, 分娩, 制片
vi. 生产, 制造"
production," n. 生产,产品,产量,作品,成果"
product," n. 产品,成果,乘积"
reproduction," n. 再现, 复制, 生殖，幼树"
reproduce," v. 再生, 复制, 生殖"
productivity," n. 生产率, 生产能力"
productive, adj. 能生产的；有生产价值的；多产的；有效率的
reproductive," adj. 复制的, 生殖的
n. （尤指群居昆虫的）母体"
increase," v. 增加, 提高
n. 增加, 增强, 提高"
cause," n. 原因；事业；目标
vt. 引起；使遭受"
region," n. 地区,地域,地带,行政区"
sentence," n. 句子,意见,宣判,刑罚,命题
vt. 宣判,判决,使遭受"
population, n. 人口
study," n. 学习,研究,学科,沉思,书房
vt. 读书,计划,研究,记忆,调查
vi. 学习,研究,沉思"
fossil," adj. 化石的
n. 化石,食古不化的人,过时的词"
fossilize," vt. 使成化石，使陈腐
vi. 变成化石，变陈腐，固定化"
theory," n. 理论,原则,看法,推测"
theorist, n. 理论家
theorize, v. 推理，建立理论，（使）理论化
term," n.学期； 条款； 术语； 期限
vt.把…称为； 把…叫做"
artist," n. 艺术家, 美术家, 艺人"
artistic, adj. 艺术的
design," vt.& vi.设计； 绘制
vt.设计； 计划； 企图； 决意（做）
n.设计； 图案； 结构； 计划
vi.设计略图； （为工艺品、装潢项目等）设计； 当设计师； 构思"
designer, n. 设计者
source, n. 来源
environment," n. 环境,外界"
environmentalist, n. 环保人士，环境论者
period," n. 学时, 课时; 一段时间, 时期, 周期; 句号"
periodic," adj. 周期的, 定期的，间歇的，完句的"
periodically, adv. 周期性地，定期地
society," n. 社会, 社团，阶层圈子"
activity, n. 活动；行动；活跃
mass," n. 块,大量,众多
adj. 群众的,大规模的
v. 集中
n. pl. 群众，民众"
since," adv. 后来
conj. 既然,因为,自从
prep. 自从"
emotion," n. 情感,情绪,感动"
emotional," adj. 感情的, 情绪的"
community," n. 社区, 团体"
organism," n. 生物体, 有机体"
microorganism, n. 微生物
process," n.过程； 工序； 做事方法； 工艺流程
vt.加工； 处理； 审阅； 审核
vi.列队行进
adj.经过特殊加工（或处理）的"
individual," adj. 个别的; 独有的
n. 个人, 个体"
individualism, n. 个人主义
effect," n. 结果, 影响, 效果; 要旨
vt. 招致, 引起; 实现, 达到"
effective," adj. 有效的,有影响的"
culture," n. 文化,教养,种植
vt. 培养"
cultural," adj. 文化的,和养动植物有关的"
occur, vi.发生； 出现； 闪现
include," v. 包括,包含,连...在内
[计算机] 包括"
inclusion, n. 包含
provide," vi. 供给, 提供
vt. 提供; 规定; 准备"
indicate," v.指明, 表明, 显示, 象征, 指示"
indication," n. 象征,迹象,指示,表示"
sediment, n. 沉淀物
sedimentary," adj. 沉淀（性）的
名词sediment的形容词"
sedimentation, n. 沉淀，沉降
pressure," n. 压力, 压强, 压迫"
particular," n. 个别项目, 详细说明
adj. 特别的, 独有的; 挑剔的; 详细的"
influence," vt. 影响, 感化
n. 影响力, 势力; 影响, 权势
n. 有影响的人(或事物)"
influential," adj. 有权势的,有影响的
n. 有影响力的人物"
modern," adj. 现代的,时髦的
n. 现代人,时尚人士"
impact," n. 冲击(力), 冲突, 影响(力)
vt. 挤入, 压紧; 撞击; 对...发生影响"
heat," n.热，热度，高温； 热烈，激烈； （身体的）发烧，发热； 发情
vt.&vi.使温暖，使热； 激发…的感情，使兴奋"
object," n. 物, 物体, 目标, 宾语
v. 反对，提出...作为反对的理由"
objective," adj. 客观的, 目标的
n. 目标, 目的; 物镜
n. =objective case 宾语"
type," n.类型； 铅字； （印刷或打印的）文字； 于…类型的
vt.& vi.打字
vt.[医学]测定（血型）； 按类型把…归类； 成为…的典型； [印刷]浇铸（铅字等）"
power," n. 力量, 权力，电力
vt. 供电，激励，全速前进
adj. 与力量有关的，与权力有关的，电力控制的"
hydropower, n. 水力发电
major," n. 主修, 成年人, 陆军少校; 巨头
adj. 主要的, 较多的, 大部份的
vi. 主修"
majority, n.多数； （获胜的）票数； 成年； 法定年龄
gas," n. 煤气,气体,汽油,空话,能量
vt. 使吸入毒气,死,给...加汽油
vi. 空谈,加汽油"
gasoline, n. 汽油
cave," n. 山洞
v. (使)凹陷
vi. (in)塌落,倒坍"
cavern," n. 大洞穴
vt. 置于洞穴中，挖空"
technique, n. 技术
structure," n. 结构,构造,建筑物
v. 构成,建立,建造"
structural," adj. 结构的, 构造的，建筑的，建筑用的"
rapid," adj. 迅速的,急促的
n. 急流"
ocean," n. 海洋,大量"
oceanic," adj. 海洋的, 海洋产出的, 无垠的"
ancient," adj. 古代的,古老的
n. 古人, 古货币"
contain," vt. 包含,容纳,克制,抑制
vi. 自制"
container," n. 容器, 集装箱"
glacier," n. 冰河, 冰川"
glacial," adj. 冰的, 冰川(期)的"
glaciation, n. 冰河作用，冻结成冰
interglacial, adj. 间冰期的
theater, n.剧场； 戏剧界； 戏剧效果； [军]战区
condition," n. 情况, 条件
v. 以...为条件, 决定, 支配, 训练"
behavior," n. 行为,举止"
variety," n. 多样, 种类, 杂耍"
various, adj. 各种各样的
vary," vt. 改变,使多样化
vi. 变化,违背"
variable," adj. 可变的,易变的
n. 变量, 易变的东西"
invariably," adv. 不变化地, 一定不变地, 常常地"
nest," n. 巢, 窝
vt. 嵌入
vi. 筑巢"
characteristic," adj. 特有的, 典型的
n. 特性, 特征, 特色"
characterize," vt. 表示...的典型,赋予...特色"
government," n. 政府,政体,统治"
governing," adj. 治理的，管理的
n. 治理，管理
动词govern的现在分词"
energy," n. 活力,精力,能力,能,能量"
energetic," adj. 精力旺盛的,有力的,能量的"
involve," vt. 包含, 使陷入, 使忙于, 使卷入, 牵涉"
involvement," n. 包含, 缠绕, 混乱, 复杂的情况"
essential," adj.基本的； 必要的； 本质的； 精华的
n.必需品； 基本要素； 必不可少的东西"
essentially," adv. 本质上,本来"
movement," n. 活动,运动,动作,移动"
evidence," n. 根据, 证据
vt. vi. 证实, 证明"
European," adj. 欧洲的
n. 欧洲人"
national," adj. 国家的,民族的
n. 国民"
location," n. 地点,位置"
located," adj. 处于, 位于"
aggressive, adj. 侵略性的；好斗的；有进取心的；有闯劲的
aggression," n. 进攻, 侵犯, 侵害, 侵略"
upper," adj. 上部的,地位较高的,上面的,北方的
n. 鞋帮,上牙,兴奋剂,令人愉快的经历"
atmosphere," n. 大气, 气氛，空气, 格调, 情趣, 气压"
atmospheric, adj. 大气的，大气层的，制造气氛的
iron," adj. 刚强的
n. 铁, 熨斗, 坚强, (复数)铁制物
vt. 熨烫(平), 用铁装备
vi. 熨烫(平)"
facial," adj. 面部的
n. 面部护理"
clay," n. 粘土,泥土"
urban, adj. 城市的
urbanization," n. 都市化, 城市化"
painting," n. 水彩画,油画"
painter, n. 画家
paint," n. 油漆,颜料,绘画作品
vt. &vi. 油漆,绘画"
economic," adj. 经济学的, 经济的，有利可图的
n. [-s]经济学(状况等)"
economy, n.节约； 经济； 理财； 秩序
economically, adv. 在经济上，节约地
economical," adj. 节俭的, 经济的, 合算的"
popular," adj. 大众的,流行的,有销路的"
technology," n. 技术,工艺(学)"
technological, adj. 科技的，工艺的
layer," n.层，层次； 膜； [植]压条； 放置者，计划者
vt.把…分层堆放； 借助压条法； 生根繁殖； 将（头发）剪成不同层次
vi.形成或分成层次； [植]通过压条法而生根"
insect, n. 昆虫
ability," n. 才能, 能力"
generally, adv. 一般地
apply," vt. 应用, 申请; 涂
vt. 使专心从事
vi.申请; 有关联"
application, n.适用，应用，运用； 申请，请求，申请表格； 勤勉，用功； 敷用，敷用药
transportation," n. 运输, 运输系统, 运输工具"
transport," n.运输、运输工具；(常用复数）强烈的情绪、狂喜或狂怒
vt. 运输；流放；为强烈的情绪所激动"
method," n. 方法,办法,条理"
manufacture," n. 产品,制造,制造业
vt. 制造,加工
vi. 参与制造"
manufacturer, n. 制造商
contribute," vt. 捐助,投稿
vi. 投稿,贡献,是原因之一"
contribution," n. 贡献,捐款(赠)"
quality," n. 品质, 特质, 才能
adj. 高品质的"
marine," n. (海军)士兵或军官, 海景画
adj. 海的,海事的,船舶的,航海的"
submarine," n. 潜水艇
adj. 水底的, 海底的
vt. 用潜艇袭击
vi. 滑入...底下"
mammal, n. 哺乳动物
establish," v. 建立, 确立, 创办"
establishment," n. 确立,制定,设施,机构,权威"
extinct," adj. 灭绝的,熄灭的
n. 消灭,熄灭"
extinction, n.熄灭； 消灭，灭绝； 废除； [物]消光，自屏，衰减
complex," adj. 复杂的
n. 复合体"
complexity," n. 复杂，复杂性, 复杂的事物"
climate," n. 气候, 风气, 气氛"
climatic, adj. 气候上的
relatively," adv. 比较地, 相对地"
relative," adj. 相对的,比较的,涉及到的
n. 亲属,同类事物,相关物"
Jupiter, n. 木星
native," adj. 本国的,本土的,出生地的,天生的
n. 本地人,土著人"
erosion," n. 腐蚀,侵蚀"
erode," vt. 腐蚀,侵蚀
vi. 受到侵蚀"
contrast, n.对比，对照； 差异； 对照物，对立面； [摄]反差
construction, n. 建设，建造，结构，构造
construct," vt. 构造,绘制,建造,想出
n. 构想,建造物"
reconstruct," vt. 重建, 修复, 重现"
reconstruction," n. 复兴, 改造, 再建"
constructive," adj. 建设性的, 构造上的, 作图的"
architecture," n. 建筑学, 建筑业, 建筑物, 结构
 [总称]建筑物, 建筑风格"
architectural," adj. 建筑的,建筑学的,建筑术的"
architect, n. 建筑师
supply," n. 补给,供给,供应，贮备
vt. 补给,供给,提供,提供足够以满足"
colonial," adj. 殖民地的
n. 殖民地居民"
colony," n. 侨民,侨居地,殖民地,聚居(地)"
colonize," v. 开拓殖民地,殖民,移植"
colonization," n. 殖民, 殖民地化"
valley, n. 山谷；流域；溪谷
meteorite," n. 陨石, 陨星"
factor," n. 因素,因子
vt. 把…因素包括进去
vi.作为因素"
desert," n. 沙漠,荒地,应得(的惩罚或奖励)adj. 沙漠的,荒凉的vt. 遗弃vi. 擅离职守"
desertification," n. (土壤)荒漠化, 沙漠化"
appear," vi. 出现,显得,出版,抵达"
appearance," n. 外表,出现,出场"
disappear," vi. 消失,灭绝
vt. 引起消失"
amount," n. 数量, 总额
vi. 总计, 等于"
summary," n. 摘要,概要
adj. 摘要的,简略的"
summarize," vt. &vi. 概述,摘要而言"
store," n. 商店,贮藏,仓库
vt. 储存,贮藏,供给,保存
adj. 储备的
(在计算机里)存贮；记忆"
storefront," n. 店头, 店面
adj. 临街的"
political," adj. 政治的, 政党的, 派系斗争的, 有政治头脑的"
politician," n. 政治家, 政客"
plate," n. 碟,盘,金属板,板块
vt. 镀金,电镀,为...制印版,, 给...装钢板,用金属板固定"
plateau," n. 高原;平稳;稳定状态
vi. 到达平稳阶段"
goods," n. 货物, 商品"
expose," vt. 暴露,揭穿,使遭受（危险或不快）"
exposition," n. 博览会, 展览会, 说明"
exposure," n. 面临（困难），显露，暴露,揭露,曝光"
element," n. 成分,要素,元素,基本原理,(复数)恶劣天气"
complete," adj. 彻底的, 完整的, 已完成的
vt. 完成; 使圆满, 使完美"
completely," adv. 完全地, 十分地, 全然"
incomplete," adj. 不完全的, 不完整的"
compliment," n. 称赞,恭维,(复数)致意
vt. 称赞,恭维"
base," n. 基底,（支持、收入、力量等的）基础
vt. 以...作基础
adj. 卑鄙的；不道德的"
advantage," n. 优势,有利条件
vt. 有利于"
disadvantage," n. 不利, 不利条件, 损害, 损失"
advantageous, adj. 有利的，有助的，有益的
rarely," adv. 很少,难得"
rate," n. 比率, 等级, 价格
vt. 估价, 认为, 定等级; 责骂
vi. 受欢迎, 受推崇; 责骂"
protect," vt. 保护,投保
vi. 提供保护"
protection," n. 保护,防卫"
pheromone, n. 〈生化〉信息素
feature," n. 特征, 容貌
vt. 以...为特色
vi. 起重要作用"
expression," n. 表达,表示,表现,表情,措辞,词句"
express," n. 快车, 快递, 专使
adj. 急速的, 明确的, 直接的
adv. 用快递; 特意地
vt. 表达, 表示; 挤压出; 快递"
expressive," adj. 表达的, 用作表达的, 富于表情的"
define," vt. 定义, 解释"
definition," n. 定义, 阐释，清晰度"
local," adj. 地方性的,当地的,局部的
[计算机] 局部的"
localize," vi. 集中, 局部化
vt. 使地方化, 使局部化"
locally," adv. 地方性地, 局部性地, 位置上"
mark," n. 污迹, 标记, 分数, 烙印, 纪录
vt. 做标记于, 留意, 打分数, 留下污痕, 使...明显
vi. 做标志, 记分, 留下印记"
ecosystem, n. 生态系统
craft," n. 工艺, 手艺, 狡诈，航空器, 行会成员
vt. 手工制作"
craftspeople, 工匠;手艺人
handicraft," n. 手工艺, 手艺, 技巧"
craftsmanship, n. 手艺
experience," n. 经历, 经验
vt. 经历, 体验"
reflect," v. 反映, 反射, 归咎"
reflection," n. 反映,映像,折射,沉思,影响"
origin," n. 起源,出身,开端"
original," adj. 最初的, 原始的; 有独创性的, 原版的
n. 原件, 原稿; 有独创性的人, 怪人"
literature," n. 文学, 文献"
instrument," n. 乐器, 工具, 仪器, 器械"
instrumental," adj. 仪器的,器具的,可做为手段的"
identifiable, adj. 可辨认的
substance," n. 物质,实质,内容,重要性,财产"
role," n. 角色,影响程度"
range," n.范围； 射程； 类别； （山脉，房屋等的）排列
vi.搜索； 变化； 延伸； 漫游
vt.排列； （按一定位置或顺序）排序； 把…分类； 徘徊
adj.牧场的，放牧区的"
quantity," n. 量,数量,大量"
primary," n. 最主要者
adj. 主要的, 初期的, 根本的"
primarily," adv. 首先, 主要地"
consider," vt. 考虑, 思考, 认为"
considerable," adj. 相当大的,可观的,重要的"
considerably," adv. 非常地, 很, 颇"
aspect," n. 方面, 外貌, 外观; 方位, 方向"
approach," n. 接近; 途径, 方法
v. 靠近, 接近, 动手处理"
pacific," adj. 太平洋的,(pacific)热爱和平的,求和的, 和解的
n. 太平洋"
grass," n. 草
vt. 以牧草喂养,覆盖着草"
grasshopper," n. 蚱蜢(输送设备, 转送装置, 小型侦察机)"
grassland," n. 牧草地, 草原"
carbon," n. 碳,灯芯,复写纸"
carbohydrate," n. 碳水化合物, 糖"
carbonate," n. 碳酸盐，黑金刚石
vt. 使碳化"
carboniferous," n. 石炭纪，石炭层
adj. 含碳或煤的，石炭纪的"
carbonic, adj. 碳的，含碳的
Whig, n. 辉格党
predator," n. 食肉动物,掠夺者"
predatory," adj. 掠夺的, 掠夺成性的, 捕食生物的"
predation, 掠夺行为
particle," n. 微粒,质点,极小量"
force," n. 力量,武力,暴力,影响力
vt. 施暴,强迫,强夺,加压力
[计算机] 强制"
forced," adj. 被迫的, 强迫的, 用力的，不自然的
force的过去式(分词）"
advance," n. 前进,进步,预支
vt. 前进，增涨，预先
vi. 前进，提升
adj. 预先的，提前的"
advancement," n. 前进, 进步"
square," n. 正方形,街区,平方，广场
adj. 正方形的,正直的,公正的,结实的
vt. 使...成方形,调整，一致
vi. 符合
adv. 成直角,直接的,正方形地"
rise," n. 上升,增加,小山
v. 升起,起身,上升,(日、月、星)升起"
gradually, adv. 逐渐地
frequently," adv. 经常地, 频繁地"
frequent," adj. 经常的,频繁的
vt. 常到,常去"
diversity," n. 多样化，（人在种族、民族、宗教等方面的）多样性； 差异； 分歧
vt. 使不同,使多样化"
diverse," adj. 不同的,相异的,多种多样的"
diversion," n. 转向, 转移, 娱乐活动"
democrat, n.民主主义者，民主人士； 民主党人； <美>民主党党员
democratic," adj. 民主的, 大众的, 平等的"
style," n. 风格,时尚,字体
vt. 称呼,设计"
stylize," vt. 使风格化，仿效 ... 的风格
=stylise"
stylistic, adj. 文体上，格式上的，体裁上的
significant," adj. 有意义的, 意味深长的; 相当数量的; 重要的, 重大的
n. (复)有意义的事物; 标志"
significance," n. 意义,重要性"
significantly, adv. 较大地(重要地)
project," n. 工程,项目,计划,事业
v. 计划,设计,表达
v. 投射,放映,凸出"
projection,n. 发射，计划，突出部分
projector," n. 放映机(探照灯, 发射装置, 设计者, 制图投射线)"
preserve," vt.保护； 保持，保存； 腌制食物； 防腐处理
vi.保鲜； 保持原状； 做蜜饯； 禁猎
n.蜜饯； 防护用品； 禁猎地； 独占的事物（或范围）"
preservation, n. 保存
grain," n. 谷物, 谷类, 颗粒, 细粒, 纹理
vt. 用谷物喂养, 形成颗粒"
whale," n. 鲸,大量
vi. 捕鲸
vt. 鞭打,打击,打败"
thus," adv. 如此,这样,因此,从而
conj. 因此,于是"
shape," n. 形状,形式,定形,身材
vt. 定形,使...成形,塑造"
relation," n. 关系,家人,亲戚,叙述,陈述"
relationship," n. 关系, 关联"
lack," vt.缺乏，缺少； 需要的东西
n.缺乏，不足，没有； 缺少的东西"
galaxy," n. 银河, 一群显赫之人"
draw," v. (drew, drawn) 拉, 拖, 挨近, 提取, 画, 绘制
n. 平局; 抽签; 拉, 拽吸引人的事物"
discover, vt.& vi.发现
decade, n. 十年
replace," vt. 取代,更换"
hold," vt.拿住，握住； 保留，保存； 扣留，拘押； 容纳
vi.拿住，握住； 同意，赞成； 保持不变； 有效
n.握住； 保留； 控制"
dioxide, n. 二氧化物
cetacean," adj. 鲸的, 鲸类的
n. 鲸目生物"
organic," adj. 器官的,有机的,根本的,接近自然的
n. 有机物质"
organ," n. 风琴,器官,机构,机关报刊"
labor," n. 工作, 劳动, 劳力, 劳方
vt. 苦干, 劳动, 分娩, 阵痛, 致力于
vi. 过分详尽阐述
adj. 劳工的, 劳动的"
laborious," adj. 艰苦的, 费劲的"
laborer," n. 劳动者, 劳工
=labourer（英）"
function," n. 功能, 函数, 重大聚会
vi. 运行, 起作用"
functional," adj. 功能的,有功能的,实用的"
functionalism, n. 机能心理学，机能主义，实用第一主义
crater," n. 弹坑, 火山口"
sculpture," n. 雕塑
vt. 雕刻,雕塑
vi. 当雕刻师"
sculptural, adj. 雕刻的
rural, adj. 农村的
remove," n. 间距, 移动
vt. 除去,开除, 移动, 取下, 拿走
vi. 迁徙,离开,搬迁"
removal," n. 移动, 移居, 除去"
entire," adj. 全部的,完整的，同性质的，纯正的，全面的"
depend," vi. 依靠,相信,指望"
dependent," adj. 附属的,依赖的,悬垂的
n. 受经济援助者"
independence," n. 独立, 自主, 自立"
current," n. (水、气、电)流, 趋势
adj. 流通的, 现在的, 最近的"
adapt," vt. 使适应,改编
vi. 适应，适合"
adaptation," n. 改编,适应,改编成的作品"
adaptive," adj. 适合的,适应的,能适应的"
steam," vt. 蒸，散发；用蒸汽处理
n. 蒸汽；精力
vi. 蒸，冒水汽
adj. 蒸汽的"
steamboat," n. 轮船, 汽艇"
folk," n.民族； 人们； 〈口〉家属，亲戚； 民间音乐
adj.民间的； 普通平民的； 流传民间的； 普通百姓的"
fiber," n. 纤维(物质),力量"
feet, n.脚( foot的名词复数 )；底部；英尺(=12 英寸或 30.48 厘米)；脚步
drill," n. 训练；钻孔机；钻子；播种机
vi. 钻孔；训练
vt. 钻孔；训练；条播
n. (Drill)人名；(德、英)德里尔"
act," n. 行为,行动,法案,（戏剧、歌剧等的）一幕
vt. 表演,扮演
vi. 表演,行动,表现,充当,奏效"
wire," n. 电线,铁丝网,电报
vt. 给…装电线,用电报发,用导线连接
vi. 发电报"
remain," v. 保持, 依然, 剩余, 留下, 逗留
n. 遗迹, 剩余物, 残骸"
relate," vt.& vi.（把…）联系起来； 讲，叙述（故事等）
vt.讲述，叙述； 使…有联系； 建立或展示联系
vi.有联系； 涉及； 符合； 发生共鸣"
illustration," n. 插图,例证,说明,图解"
illustrate," vt. 举例说明,作图解
vi. 举例"
huge," adj. 巨大的,程度高的"
emphasize," v. 强调,着重
vt. 强调"
emphasis," n. 强调,重点"
survive," vt. 比…活得长,幸免于难,艰难度过
vi. 活着, 继续存在"
survival," n. 生存,幸存者"
settler, n. 移居者；殖民者
settle," n. 有背的长凳
vt. 安放,安顿,解决,决定,付清(欠款)
vi. 定居,降落"
settlement," [建]沉降; 解决, 结算,殖民(地), 租界; 居留地; 新建区; 住宅区"
paleolithic, adj. 旧石器时代的
interest," n. 兴趣, 嗜好, 利息; 股份
vt. 使...感兴趣"
demonstrate," vt. 示范, 演示, 证明
vi. 示威"
artisan," n. 工匠,技工"
affect," vt. 影响, 作用, 感动"
skeleton," n. 骨架,纲要,骨骼,骨瘦如柴的人或动物,家丑
adj. 骨骼的"
plain," n. 平原,草原
adj. 简单的,平坦的,平常的,家常的
adj.纯的，不掺杂的"
oxygen," n. 氧,氧气"
interior," adj. 内部的,内地的,国内的,在内的
n. 内部"
engine," n. 发动机, 引擎, 机车, 火车头
vt. 装引擎"
engineering," n. 工程(学),工程技术"
electricity, n. 电力；电流；强烈的紧张情绪
electrical," adj. 电的,电气科学的"
electric," adj. 电的,令人激动的,鲜亮的
n. 供电"
deposit," vt. 存放, 堆积, 使沉淀
vi. 沉淀
n. 存款, 定金, 堆积物"
deposition," n. 沉积作用(沉积物, 矿床)； <律>(在法庭上的)宣誓作证;证词,证言"
crow," n. 啼叫,乌鸦, 欢叫
vi. 啼叫,报晓,欢叫
vt. 洋洋夸口,自鸣得意"
continue," vt. &vi. 继续, 连续, 维持"
continuous," adj. 连续的, 继续的, 连绵不断的"
continuum," n. 连续,连续统,闭连集"
continuity, n. 连续性
cell," n. 细胞, 电池, 小组, 小房间, 单人牢房, (蜂房的)巢室, 手机"
celled, 含有某种或若干小细胞的
attract," v. 吸引, 有吸引力"
attractive," adj. 有吸引力的, 引起注意的"
attraction," n. 吸引, 吸引力, 有吸引力的人或事物"
private," adj. 私人的，隐蔽的
n. 士兵，列兵"
physical," adj. 身体的,物理的,物质的
n. 体检"
physicist, n. 物理学家，自然科学家
distinct," adj. (from)独特的,不同的,明显的,清楚的"
distinctive," adj. 有特色的,出众的"
distinction, n. 区别; 卓越; 殊荣
bead," n. 珠子,滴
vt. 用珍珠布置或覆盖，象珍珠一样串成线
vi. 形成珍珠"
basis," n. 基础,根据,主要成分"
tulip, n. 郁金香
textile," adj. 纺织的
n. 纺织品"
terrestrial," adj. 地球的；陆地的，[生物] 陆生的；人间的
n. 陆地生物；地球上的人"
surge," n. 汹涌,澎湃
vi. 汹涌；强烈感到；飞涨
vt. 放开,松手"
specialize," vi.专门从事； 专攻； 详细说明； 特化
vt.使专门化； 使适应特殊情况； 详细说明； 列举"
specialization," n. 专门化, 特殊化 
[生]特化器官（机体）"
specially," adv. 特别地, 专门地"
readily," adv. 不迟疑地,迅速地,轻易地"
potential," adj.潜在的，有可能的； [语法学]可能语气的，表示可能性的； 有能力的
n.潜力，潜能； [物]电位，势能； 潜能的事物； [语]可能语气"
potentially, adv. 潜在地
migration," n. 移民,移往,移动"
migrate," v. 移动,移往,随季节而移居
[计算机] 迁移"
migratory," adj. 迁移的, 流浪的"
immigration," n. 移居, 移民"
mask," n. 口罩, 假面具,掩饰, 面膜
vt. &vi. 戴面具,掩饰,化装
[计算机] 掩码"
accurate," adj. 准确的, 精确的"
vitamin, n. 维生素
timberline," n. 树带界线, 林木线"
timber," n. 木材,木料"
Pueblo," Pueblo: n. 普艾布罗(美国科罗拉多州中部一城市)
pueblo: n. 普埃布洛族，普埃布洛人"
pollutant, n. 污染物质
pollute," v. 弄脏,污染
vt. 污染"
novel," adj. 新奇的
n. 小说"
novelist, n. 小说家
novelty," n. 新奇,新奇的事物,小装饰"
mechanism," n. 机制,原理，机械,机构,结构"
headmaster, n. (中小学的)校长
habitat," n. (动植物的)产地,栖息地"
fundamental," adj. 基本的,根本的,重要的
n. 基本原理,基础"
cycle," n. 循环,周期,长期,圈,套曲,自行车,
vt. 环行,骑自行车
vi. 使环行"
cattle," n. 牛
n. 家畜，马，无价值的人，畜牲"
California," n. 加利福尼亚, 加州"
brief," n. 摘要,简报,公事包
adj. 简短的,简洁的
v. 对...作简报,摘要"
avoid," v. 避免
vt. 避免,逃避"
industrial," adj. 工业的,产业的
n. 工业公司"
industrialization, n. 工业化
industrialize," v. (使)工业化
=industrialise(英)"
industrialism," n. 产业主义, 工业制度"
